	u*	g'	r'	I'	z'
300.0	0.00	0.14	0.00	-0.01	0.00
300.5	0.00	0.13	0.00	0.00	0.00
301.0	0.00	0.12	0.00	0.00	0.01
301.5	0.00	0.10	0.00	0.00	0.01
302.0	0.00	0.08	0.00	0.00	0.00
302.5	0.00	0.06	0.00	0.00	0.00
303.0	0.00	0.04	0.00	0.00	0.00
303.5	0.00	0.02	0.00	0.00	0.01
304.0	0.00	0.01	0.00	0.00	0.00
304.5	0.00	0.00	0.00	-0.01	0.01
305.0	0.00	0.00	0.00	0.00	0.00
305.5	0.00	0.00	0.00	-0.01	0.01
306.0	0.00	0.00	0.00	0.00	0.01
306.5	0.00	0.00	0.00	-0.01	0.01
307.0	0.00	0.00	0.00	-0.01	0.01
307.5	0.00	0.00	0.00	-0.01	0.01
308.0	0.00	0.00	0.00	-0.01	0.01
308.5	0.00	0.00	0.00	-0.01	0.00
309.0	0.00	0.00	0.00	-0.01	0.00
309.5	0.00	0.00	0.00	-0.01	0.01
310.0	0.00	0.00	0.00	-0.01	0.00
310.5	0.00	0.00	0.00	-0.01	0.01
311.0	0.00	0.00	0.00	-0.01	0.00
311.5	0.00	0.00	0.00	-0.01	0.00
312.0	0.00	0.00	0.00	-0.01	0.00
312.5	0.00	0.00	0.00	-0.01	0.00
313.0	0.00	0.00	0.00	0.00	0.00
313.5	0.00	0.00	0.00	0.00	0.00
314.0	0.00	0.00	0.00	-0.01	0.00
314.5	0.00	0.00	0.00	0.00	0.00
315.0	0.00	0.00	0.00	0.00	0.00
315.5	0.00	0.00	0.00	0.00	0.00
316.0	0.00	0.00	0.00	0.00	0.00
316.5	0.00	0.00	0.00	0.00	0.00
317.0	0.00	0.00	0.00	0.00	0.00
317.5	0.00	0.00	0.00	-0.01	0.00
318.0	0.01	0.00	0.00	0.00	0.01
318.5	0.01	0.00	0.00	-0.01	0.00
319.0	0.01	0.00	0.00	-0.01	0.00
319.5	0.01	0.00	0.00	-0.01	0.00
320.0	0.02	0.00	0.00	0.00	0.00
320.5	0.02	0.00	0.00	-0.01	0.00
321.0	0.02	0.00	0.00	-0.01	0.00
321.5	0.03	0.00	0.00	-0.01	0.00
322.0	0.03	0.00	0.00	-0.01	0.00
322.5	0.04	0.00	0.00	-0.01	0.00
323.0	0.05	0.00	0.00	-0.01	0.00
323.5	0.06	-0.01	0.00	-0.01	-0.01
324.0	0.07	0.00	0.00	-0.01	-0.01
324.5	0.08	-0.01	0.00	0.00	0.00
325.0	0.09	0.00	0.00	0.00	-0.01
325.5	0.11	0.00	0.00	0.00	0.00
326.0	0.12	0.00	0.00	0.00	0.00
326.5	0.14	-0.01	0.00	0.00	-0.01
327.0	0.17	0.00	0.00	0.00	0.00
327.5	0.20	0.00	0.00	0.00	0.00
328.0	0.24	-0.01	0.00	0.00	-0.01
328.5	0.29	-0.01	0.00	0.00	0.00
329.0	0.36	0.00	0.00	0.00	-0.01
329.5	0.46	-0.01	0.00	0.00	-0.01
330.0	0.60	0.00	0.01	0.00	-0.01
330.5	0.81	-0.01	0.00	0.00	0.00
331.0	1.10	-0.01	0.01	-0.01	0.00
331.5	1.53	-0.01	0.00	-0.01	0.00
332.0	2.16	-0.01	0.00	-0.01	0.00
332.5	3.05	-0.01	0.00	-0.01	0.00
333.0	4.37	-0.01	0.00	-0.01	0.00
333.5	6.21	-0.01	0.00	-0.01	0.00
334.0	8.74	-0.02	0.01	0.00	0.00
334.5	12.25	-0.01	0.00	-0.01	0.00
335.0	16.61	-0.01	0.00	0.00	0.00
335.5	21.98	-0.01	0.00	-0.01	0.00
336.0	28.32	0.00	0.01	-0.01	0.00
336.5	35.12	-0.01	0.00	-0.01	0.01
337.0	42.40	-0.01	0.01	-0.01	0.01
337.5	49.37	-0.01	0.00	0.00	0.02
338.0	55.55	-0.01	0.01	0.00	0.01
338.5	60.60	-0.01	0.00	0.00	0.01
339.0	64.32	-0.01	-0.01	0.00	0.01
339.5	66.36	-0.01	0.01	-0.02	0.01
340.0	67.58	-0.01	0.02	-0.01	0.01
340.5	67.85	-0.01	0.01	0.00	0.00
341.0	67.49	-0.01	0.02	-0.01	0.01
341.5	66.71	-0.02	0.01	-0.02	0.00
342.0	65.78	-0.01	0.01	-0.01	0.01
342.5	65.09	0.00	0.01	0.16	0.01
343.0	64.62	-0.01	0.01	0.08	0.00
343.5	64.20	-0.02	0.01	-0.08	-0.01
344.0	63.92	-0.01	0.01	0.04	0.01
344.5	63.93	-0.01	0.01	0.00	0.00
345.0	64.67	-0.01	0.02	0.00	0.01
345.5	66.43	-0.01	0.01	0.00	-0.01
346.0	69.15	-0.01	0.01	-0.01	0.00
346.5	72.31	-0.01	0.01	-0.01	0.00
347.0	75.02	0.00	0.02	-0.01	0.00
347.5	76.76	-0.01	0.01	-0.01	-0.01
348.0	76.97	-0.01	0.01	-0.01	-0.01
348.5	75.95	-0.01	0.01	-0.01	-0.01
349.0	74.12	0.00	0.00	-0.01	-0.01
349.5	71.30	0.00	0.01	0.00	0.00
