2004dt| 5|+23.2 +102.6|Normal  |HV  |BL|0.01973 |0.01883|53239.1|15.000|0.035|1.235|0.072|0.023|-0.046|0.047| |-0.39|0.18
2004ef| 8| -8.0  +37.5|Normal  |HV  |BL|0.03099 |0.02979|53264.0|16.828|0.019|1.379|0.061|0.056| 0.102|0.027| |-0.09|0.12
2004eo| 3|-10.5  +24.9|Normal  |N   |CL|0.01570 |0.01475|53278.2|15.067|0.011|1.365|0.063|0.108| 0.055|0.020|Y|-0.16|0.17
2004ey| 4| -0.3  +47.9|Normal  |N   |CN|0.01579 |0.01464|53303.9|14.713|0.011|0.930|0.013|0.139|-0.063|0.022|Y| 0.15|0.16
2004gc| 4|+10.8  +33.1|Normal  |    |  |0.03070 |0.03074|53324.6|16.649|0.028|1.088|0.055|0.206| 0.150|0.037| |-0.25|0.13
2004gs| 2| -3.1   +2.7|Normal  |N   |CL|0.02665 |0.02752|53356.0|17.132|0.017|1.613|0.082|0.031| 0.158|0.044| | 0.07|0.16
2004gu| 1| -4.3       |Normal  |91T |SS|0.04586 |0.04693|53363.4|17.478|0.017|0.888|0.299|0.027| 0.189|0.021| |-0.33|0.23
2005A | 3| +4.1  +32.6|Normal  |HV  |BL|0.01914 |0.01835|53380.4|18.141|0.151|1.222|0.183|0.030| 1.019|0.192| |-0.10|0.58
2005M | 9| +0.3  +68.5|91T     |91T |SS|0.02462 |0.02560|53405.4|15.924|0.038|0.844|0.066|0.031| 0.018|0.039|Y|-0.03|0.15
2005W | 1| -7.3       |        |N   |BL|0.00889 |0.00796|53411.8|14.138|0.009|1.225|0.071|0.071| 0.090|0.070| |     |
2005ag| 4| -0.1  +46.1|Normal  |N   |BL|0.0798 a|0.0804 |53414.0|18.447|0.060|0.920|0.169|0.041|-0.003|0.125|Y|-0.08|0.37
2005al| 7|+14.7  +49.3|Normal  |    |  |0.01240 |0.01329|53429.9|14.870|0.020|1.166|0.031|0.055|-0.034|0.022|Y| 0.27|0.18
2005am| 7| +7.9  +38.6|Normal  |HV  |BL|0.00790 |0.00897|53436.6|13.639|0.009|1.514|0.076|0.054| 0.045|0.015|Y|     |
2005be| 4| +7.0  +18.6|Normal  |    |  |0.03502 |0.03562|53460.6|16.887|0.035|1.472|0.077|0.034| 0.019|0.046| |-0.27|0.16
2005bg| 3| +2.0   +8.8|Normal  |N   |SS|0.02309 |0.02417|53470.7|15.881|0.042|1.021|0.079|0.032| 0.041|0.061| |-0.13|0.20
2005bl| 2| -8.4   -4.5|91bg    |91bg|CL|0.02406 |0.02513|53484.2|18.221|0.031|1.802|0.038|0.029| 0.558|0.035| | 0.12|0.14
2005bo| 2| -1.0   -0.0|Normal  |N   |CN|0.01390 |0.01502|53479.8|15.662|0.009|1.299|0.078|0.046| 0.290|0.017| |-0.19|0.16
2005el| 4| -7.2  +14.6|Normal  |N   |CN|0.01491 |0.01490|53647.1|14.821|0.021|1.348|0.040|0.114|-0.014|0.022|Y|-0.22|0.16
2005eq| 2| -5.4   +7.2|91T     |91T |SS|0.02898 |0.02837|53654.4|16.306|0.026|0.773|0.022|0.077| 0.099|0.042| |-0.05|0.14
2005hc| 3| -5.1   +0.7|Normal  |N   |CN|0.04594 |0.04501|53667.1|17.305|0.033|0.912|0.092|0.029| 0.004|0.036|Y| 0.08|0.13
2005iq| 2|+10.5  +37.6|Normal  |    |  |0.03404 |0.03295|53687.7|16.776|0.039|1.250|0.109|0.022|-0.020|0.042|Y| 0.06|0.16
2005kc| 4| +0.9  +28.4|Normal  |N   |CN|0.01512 |0.01390|53697.7|15.510|0.011|1.200|0.074|0.132| 0.179|0.028| | 0.20|0.18
2005ke|12| -0.6 +128.5|91bg    |91bg|CL|0.00488 |0.00449|53698.3|14.772|0.021|1.762|0.048|0.027| 0.661|0.023|Y|-0.28|0.11
2005ki| 5| -7.6 +142.3|Normal  |N   |CN|0.01921 |0.02038|53705.6|15.543|0.031|1.371|0.050|0.032|-0.008|0.031|Y|-0.22|0.15
2005ku| 3| -1.7  +28.8|Normal  |HV  |CN|0.04544 |0.04421|53698.4|17.483|0.024|1.019|0.057|0.053| 0.102|0.030| |-0.05|0.11
2005lu| 6|+10.4  +16.2|Normal  |    |  |0.03201 |0.03132|53711.9|17.279|0.018|0.882|0.033|0.025| 0.195|0.022| | 0.37|0.10
2005na| 6|+11.7  +75.8|Normal  |N   |CN|0.02632 |0.02683|53739.7|15.981|0.055|0.944|0.118|0.078|-0.026|0.058| |-0.03|0.21
2006D |11| -5.4  +92.7|Normal  |N   |CN|0.00853 |0.00965|53757.3|14.136|0.006|1.388|0.011|0.046| 0.094|0.013|Y|     |
2006X |13| -5.9  +93.3|Normal  |HV  |BL|0.00524 |0.00633|53785.8|15.218|0.048|1.115|0.029|0.026| 1.196|0.058| | 0.11|0.22
2006ax| 8|-10.2  +19.2|Normal  |N   |CN|0.01674 |0.01797|53827.1|15.002|0.028|1.016|0.016|0.050|-0.048|0.028|Y|-0.11|0.15
2006bd| 1|+12.9       |91bg    |91bg|CL|0.02572 |0.02681|53811.5|17.650|0.103|1.647|0.017|0.028| 0.249|0.123|Y| 0.37|0.36
2006bh| 2| +8.3  +16.3|Normal  |    |  |0.01085 |0.01050|53833.4|14.348|0.025|1.428|0.049|0.026|-0.032|0.025|Y| 0.06|0.22
2006br| 1| +0.5       |Normal  |HV  |BL|0.02459 |0.02554|53851.2|18.969|0.039|1.161|0.032|0.025| 0.884|0.046| | 0.42|0.16
2006dd| 6|-11.4 +193.1|Normal  |    |  |0.00587 |0.00551|53919.4|12.241|0.009|1.079|0.014|0.021|-0.071|0.013|Y| 0.29|0.06
2006ef| 4|+36.3 +101.2|Normal  |HV  |BL|0.01788 |0.01702|53969.7|15.411|0.020|1.326|0.015|0.024| 0.027|0.024| |-0.02|0.15
2006ej| 4|+28.4  +55.0|Normal  |HV  |BL|0.02045 |0.01935|53975.6|15.676|0.026|1.297|0.055|0.035|-0.011|0.037|Y| 0.08|0.16
2006eq| 2|+25.2  +26.1|Normal  |N   |CL|0.04950 |0.04839|53977.1|18.402|0.023|1.662|0.055|0.048| 0.223|0.026| |-0.14|0.10
2006et| 5|+10.5  +75.9|Normal  |N   |CN|0.02217 |0.02119|53993.0|15.963|0.008|0.847|0.063|0.019| 0.177|0.011| |-0.01|0.12
2006ev| 4|+14.1  +29.6|Normal  |    |  |0.02873 |0.02762|53989.1|16.658|0.016|1.323|0.012|0.091| 0.048|0.019| | 0.10|0.10
2006fw| 4| -6.8  +17.6|Normal  |N   |CN|0.08300 |0.08204|54002.7|18.927|0.039|1.078|0.109|0.032| 0.015|0.060| | 0.19|0.19
2006gj| 7| +4.1  +25.5|Normal  |N   |CL|0.02835 |0.02777|53999.6|17.272|0.009|1.533|0.009|0.083| 0.222|0.012| | 0.07|0.09
2006gt| 5| +0.3  +17.4|91bg    |91bg|CL|0.04477 |0.04367|54003.5|18.229|0.020|1.851|0.288|0.037| 0.256|0.024|Y|-0.31|0.23
2006hb|12| +7.9  +74.0|86G     |91bg|  |0.01534 |0.01535|53998.7|15.296|0.029|1.252|0.011|0.027| 0.092|0.037| |-0.03|0.18
2006hx| 2| -8.1   -3.2|Normal  |N   |SS|0.04549 |0.04444|54022.1|17.390|0.031|1.151|0.039|0.030|-0.184|0.073| | 0.53|0.21
2006is|15| +1.4  +46.0|Normal  |HV  |CN|0.0314 a|0.0314 |54008.4|16.072|0.017|0.796|0.009|0.034| 0.047|0.023| |-0.38|0.10
2006kf| 6| -5.4  +28.9|Normal  |N   |CL|0.02130 |0.02081|54041.3|15.817|0.005|1.583|0.042|0.247|-0.016|0.033|Y|-0.13|0.14
2006lu| 3| +8.3  +20.7|Normal  |    |  |0.0534 a|0.0544 |54034.1|16.940|0.016|0.908|0.009|0.116|-0.153|0.020| |-0.28|0.07
2006mr|11| -1.5  +63.1|91bg    |91bg|CL|0.00587 |0.00551|54050.1|15.345|0.011|1.776|0.037|0.021| 0.708|0.121| | 0.75|0.34
2006ob| 1|+22.9       |Normal  |    |  |0.05924 |0.05830|54063.4|18.242|0.039|1.452|0.162|0.033| 0.047|0.104| |-0.08|0.31
2006os| 2| -1.0  +19.3|Normal  |N   |CL|0.03281 |0.03210|54062.8|16.912|0.020|1.440|0.070|0.148| 0.184|0.024| |-0.44|0.11
2006ot| 2|+19.7  +24.5|peculiar|HV  |BL|0.05294 |0.05219|54061.9|17.736|0.022|0.844|0.005|0.018| 0.092|0.028| |-0.01|0.09
2006py| 1|+15.1       |Normal  |    |  |0.05790 |0.05668|54070.6|17.881|0.016|1.018|0.030|0.065| 0.064|0.021| |-0.11|0.07
2007A | 2| -6.2   +0.7|Normal  |N   |CN|0.01765 |0.01648|54112.8|15.695|0.012|0.924|0.025|0.074| 0.222|0.033| | 0.09|0.16
2007N | 5| +6.0  +83.9|91bg    |91bg|CL|0.01288 |0.01401|54123.8|18.085|0.049|1.779|0.094|0.041| 0.948|0.053| | 0.22|0.23
2007S | 6|-12.6  +33.5|91T     |91T |SS|0.01388 |0.01503|54144.6|15.789|0.013|0.947|0.026|0.028| 0.371|0.031| |-0.03|0.17
2007af| 8|-10.4  +57.1|Normal  |N   |BL|0.00546 |0.00629|54174.3|13.330|0.014|1.203|0.034|0.031| 0.196|0.030| |     |
2007ai| 5| -1.9  +13.6|91T     |91T |SS|0.03166 |0.03201|54171.8|15.484|0.009|0.740|0.012|0.332|-0.173|0.011| |-0.36|0.08
2007al| 4| +0.9  +13.7|91bg    |91bg|CL|0.01212 |0.01327|       |      |     |     |     |0.042|      |     | |     |
2007as| 4| -2.7  +38.6|Normal  |HV  |BL|0.01757 |0.01791|54181.3|14.821|0.006|1.217|0.010|0.142|-0.073|0.008| |-0.37|0.13
2007ax| 1| -2.0       |91bg    |91bg|CL|0.00686 |0.00764|54187.6|16.201|0.029|1.958|0.089|0.054| 0.684|0.031|Y|     |
2007ba| 2| +3.1   +6.0|91bg    |91bg|CL|0.03851 |0.03908|54196.6|17.664|0.117|1.851|0.065|0.038| 0.248|0.138| |-0.60|0.40
2007bc| 3| -0.5   +7.4|Normal  |N   |CL|0.02077 |0.02077|54200.1|15.896|0.008|1.207|0.011|0.022| 0.124|0.009| |-0.15|0.11
2007bd| 4| -7.2  +13.1|Normal  |HV  |BL|0.03102 |0.03196|54207.1|16.551|0.022|1.234|0.065|0.034| 0.029|0.024| |-0.21|0.11
2007bm| 2| +4.1   +6.9|Normal  |N   |CN|0.00621 |0.00621|54224.6|14.377|0.007|1.194|0.013|0.036| 0.472|0.009| |     |
2007ca| 2| +1.4   +4.2|Normal  |N   |CN|0.01407 |0.01508|54227.3|15.892|0.014|0.904|0.032|0.067| 0.279|0.026| | 0.35|0.16
2007hj| 3| +6.3  +26.9|Normal  |HV  |CL|0.01411 |0.01289|54349.3|15.585|0.033|1.758|0.081|0.085| 0.224|0.047|Y|-0.10|0.22
2007jg| 5| -1.2  +40.1|Normal  |HV  |BL|0.03713 |0.03660|54367.2|17.181|0.045|1.311|0.077|0.107| 0.028|0.048|Y| 0.06|0.16
2007jh| 1|+42.8       |86G     |91bg|  |0.04080 |0.04029|54365.3|18.321|0.012|1.720|0.008|0.000| 0.349|0.018| |-0.20|0.07
2007le|12| -9.0  +44.6|Normal  |HV  |BL|0.00672 |0.00553|54398.7|13.875|0.009|0.971|0.072|0.033| 0.292|0.011| |     |
2007nq| 8| +3.3  +37.8|Normal  |HV  |BL|0.04503 |0.04393|54398.2|17.246|0.009|1.471|0.010|0.035| 0.004|0.011|Y|-0.34|0.06
2007on|19| -3.9 +284.3|Normal  |N   |CL|0.00649 |0.00619|54419.7|13.023|0.008|1.860|0.026|0.012| 0.088|0.011|Y|     |
2007sr|14|+13.8 +133.9|Normal  |    |  |0.00548 |0.00666|54448.0|12.706|0.021|0.919|0.039|0.047| 0.047|0.030| |     |
2007ux| 3| +2.3  +53.7|Normal  |N   |CL|0.03091 |0.03202|54466.4|17.353|0.044|1.634|0.103|0.045| 0.181|0.062| |-0.12|0.20
2008C | 5| +4.3  +54.4|Normal  |N   |SS|0.01662 |0.01708|54466.3|15.287|0.010|1.113|0.015|0.084| 0.094|0.013| |-0.18|0.13
2008R | 5| +2.2  +26.9|91bg    |91bg|CL|0.01350 |0.01290|54494.3|15.224|0.039|1.823|0.031|0.072| 0.085|0.044| |-0.13|0.21
2008ar| 8| -8.1  +47.2|Normal  |N   |CN|0.02615 |0.02727|54534.2|16.259|0.038|0.884|0.069|0.038| 0.100|0.054| |-0.08|0.18
2008bc| 8| -9.0  +36.3|Normal  |N   |CN|0.01509 |0.01572|54548.7|14.624|0.007|0.823|0.021|0.263|-0.038|0.015| |-0.08|0.15
2008bf|10| -8.5  +42.1|Normal  |N   |CN|0.02403 |0.02510|54554.5|15.779|0.022|0.872|0.040|0.036|-0.066|0.031|Y| 0.08|0.13
2008bq| 4| +0.6  +33.4|Normal  |N   |CN|0.03400 |0.03446|54562.9|16.303|0.006|0.919|0.012|0.090|-0.027|0.008| |-0.24|0.07
2008fp|15| -2.8 +156.1|Normal  |N   |CN|0.00566 |0.00629|54729.7|13.829|0.020|0.838|0.047|0.196| 0.491|0.028| |     |
2008gl| 5| -1.5  +54.6|Normal  |N   |BL|0.03402 |0.03297|54768.2|16.845|0.022|1.289|0.045|0.028| 0.050|0.031|Y|-0.09|0.12
2008gp| 3| -5.7  +42.6|Normal  |    |  |0.03341 |0.03285|54778.6|16.455|0.031|0.973|0.113|0.120| 0.033|0.043|Y|-0.19|0.16
2008hu| 3| +3.9  +20.1|Normal  |HV  |BL|0.04970 |0.05056|54806.6|17.868|0.043|1.487|0.095|0.107| 0.114|0.061|Y|-0.34|0.19
2008hv|10| -6.0  +71.0|Normal  |N   |CN|0.01255 |0.01359|54816.8|14.672|0.006|1.253|0.006|0.032| 0.039|0.009|Y|-0.24|0.16
2008ia| 8| -2.0  +59.5|Normal  |N   |BL|0.02171 |0.02233|54812.9|14.871|0.007|1.323|0.012|0.228|-0.169|0.011|Y|-0.62|0.10
2009D | 7| -3.9  +76.9|Normal  |N   |CN|0.02501 |0.02467|54840.7|15.789|0.016|0.845|0.028|0.053| 0.018|0.023|Y|-0.08|0.11
2009F | 7| -5.0  +45.3|91bg    |91bg|CL|0.01296 |0.01292|54841.8|16.929|0.025|1.966|0.045|0.104| 0.635|0.036|Y|-0.04|0.20
2009Y |13| -5.5  +75.7|Normal  |HV  |BL|0.00935 |0.01011|54876.4|14.042|0.032|0.883|0.057|0.102| 0.114|0.045| |     |
2009aa|11| -7.8  +39.9|Normal  |N   |CN|0.02731 |0.02850|54878.7|16.355|0.023|1.118|0.045|0.034| 0.030|0.033|Y|-0.07|0.13
2009ab| 5|-10.2   +4.7|Normal  |N   |CN|0.01117 |0.01087|54883.8|14.652|0.046|1.207|0.092|0.214| 0.065|0.065| | 0.19|0.28
2009ad| 6| -8.3  +32.5|Normal  |N   |SS|0.02840 |0.02834|54886.1|16.074|0.096|0.882|0.174|0.111|-0.006|0.136| |-0.07|0.41
2009ag| 6| -3.5  +54.9|Normal  |N   |BL|0.00864 |0.00925|54889.2|14.589|0.041|0.967|0.076|0.254| 0.241|0.058| |     |
2005hj| 0|            |91T     |91T |SS|0.05801 |0.05699|53675.2|17.753|0.085|0.827|0.190|0.039| 0.061|0.086| |-0.10|0.30
