obj_id	 | ra	 | dec	 | type	 | Type Ref	 | ZSNID Subtype	 | Discovery Date	 | Discoverer	 | Discovery Ref	 | Host Name	 | Host Type	 | Galaxy Redshift	 | Galaxy Redshift Error | z | zerr	 | Reddening	 | Reddening Error	 
1885A	 | 10.6796	 | 41.2678	 | 	 | 	 | 	 | 1885-08-17	 | Hartwig (S And)	 | 	 | NGC 224	 | SA(s)b         LINER	 | -0.001	 | 0.00001	 | 	 | 0	 | 0.6814	 | 0	 
1895A	 | 186.821	 | 9.41694	 | 	 | 	 | 	 | 1895-03-16	 | Wolf (VW Vir)	 | 	 | NGC 4424	 | SB(s)a:        HII	 | 0.00146	 | 0.00001	 | 	 | 0	 | 0.01866	 | 0	 
1895B	 | 204.989	 | -31.6367	 | 	 | 	 | 	 | 1895-07-07	 | Fleming (Z Cen)	 | 	 | NGC 5253	 | Im pec;HII     Sbrst	 | 0.00136	 | 0.00001	 | 	 | 0	 | 0.05565	 | 0	 
1901A	 | 122.813	 | 25.2085	 | 	 | 	 | 	 | 1901-01-10	 | Reinmuth	 | 	 | NGC 2535	 | SA(r)c pec     LLIRG	 | 0.01367	 | 0	 | 	 | 0	 | 0.04412	 | 0	 
1901B	 | 185.725	 | 15.8167	 | 	 | 	 | 	 | 1901-03-17	 | Curtis	 | 	 | NGC 4321	 | SAB(s)bc;LINER HII	 | 0.00524	 | 0	 | 	 | 0	 | 0.02185	 | 0	 
1907A	 | 191.5	 | -8.65	 | 	 | 	 | 	 | 1907-05-09	 | Luyten	 | 	 | NGC 4674	 | SAB(s)a pec sp	 | 0.00502	 | 0.00012	 | 	 | 0	 | 0.03933	 | 0	 
1909A	 | 210.512	 | 54.4658	 | 	 | 	 | 	 | 1909-01-26	 | Wolf (SS UMa)	 | 	 | NGC 5457	 | SAB(rs)cd	 | 0.0008	 | 0.00001	 | 	 | 0	 | 0.00845	 | 0	 
1912A	 | 140.485	 | 50.9806	 | 	 | 	 | 	 | 1912-02-19	 | Pease, Curtis	 | 	 | NGC 2841	 | SA(r)b:;LINER  Sy1	 | 0.00213	 | 0.00001	 | 	 | 0	 | 0.01781	 | 0	 
1914A	 | 185.735	 | 15.7919	 | 	 | 	 | 	 | 1914-03-02	 | Curtis	 | 	 | NGC 4321	 | SAB(s)bc;LINER HII	 | 0.00524	 | 0	 | 	 | 0	 | 0.02198	 | 0	 
1915A	 | 188.548	 | 2.65056	 | 	 | 	 | 	 | 1915-03-20	 | Curtis	 | 	 | NGC 4527	 | SAB(s)bc;HII   LINER	 | 0.00579	 | 0	 | 	 | 0	 | 0.0229	 | 0	 
1916A	 | 11.975	 | 19.5969	 | 	 | 	 | 	 | 0000-00-00	 | 	 | 	 | NGC 251	 | Sc	 | 0.01518	 | 0.00002	 | 	 | 0	 | 0.05154	 | 0	 
1917A	 | 308.695	 | 60.125	 | 	 | 	 | 	 | 1917-07-19	 | Ritchey	 | 	 | NGC 6946	 | SAB(rs)cd;Sy2  HII	 | 0.00016	 | 0.00001	 | 	 | 0	 | 0.34261	 | 0	 
1919A	 | 187.702	 | 12.4178	 | 	 | 	 | 	 | 1919-02-24	 | Balanowsky	 | 	 | NGC 4486	 | E+0-1 pec;NLRG Sy	 | 0.00436	 | 0.00002	 | 	 | 0	 | 0.01892	 | 0	 
1920A	 | 128.818	 | 28.475	 | 	 | 	 | 	 | 1920-01-01	 | Wolf	 | 	 | NGC 2608	 | SB(s)b:	 | 0.00712	 | 0.00003	 | 	 | 0	 | 0.0415	 | 0	 
1921A	 | 180.485	 | -18.8844	 | 	 | 	 | 	 | 0000-00-00	 | Hubble, Duncan	 | 	 | NGC 4038	 | SB(s)m pec	 | 0.00548	 | 0.00004	 | 	 | 0	 | 0.04636	 | 0	 
1921B	 | 154.579	 | 41.3717	 | 	 | 	 | 	 | 1921-04-06	 | Zwicky	 | 	 | NGC 3184	 | SAB(rs)cd      HII	 | 0.00198	 | 0	 | 	 | 0	 | 0.01733	 | 0	 
1921C	 | 154.596	 | 41.3506	 | 	 | 	 | 	 | 1921-12-05	 | Jones	 | 	 | NGC 3184	 | SAB(rs)cd      HII	 | 0.00198	 | 0	 | 	 | 0	 | 0.01719	 | 0	 
1923A	 | 204.288	 | -29.8267	 | 	 | 	 | 	 | 1923-05-05	 | Lampland	 | 	 | NGC 5236	 | SAB(s)c;HII    Sbrst	 | 0.00171	 | 0.00001	 | 	 | 0	 | 0.06523	 | 0	 
1926A	 | 185.475	 | 4.49361	 | 	 | 	 | 	 | 1926-05-09	 | Wolf, Reinmuth	 | IAUC 111	 | NGC 4303	 | SAB(rs)bc;HII  Sy2	 | 0.00522	 | 0.00001	 | 	 | 0	 | 0.0256	 | 0	 
1926B	 | 248.087	 | 19.84	 | 	 | 	 | 	 | 1926-06-17	 | Van Maanen	 | 	 | NGC 6181	 | SA(rs)c        HII	 | 0.00792	 | 0.00001	 | 	 | 0	 | 0.06729	 | 0	 
1934A	 | 278.305	 | -56.7342	 | 	 | 	 | 	 | 1934-10-03	 | Boyd	 | 	 | IC 4719	 | SA(s)dm pec:	 | 0.01033	 | 0.00004	 | 	 | 0	 | 0.0995	 | 0	 
1935A	 | 261.619	 | -59.7283	 | 	 | 	 | 	 | 1935-06-05	 | Boyd, Huruhata	 | IAUC 859	 | IC 4652	 | Sb:	 | 0.01356	 | 0.00022	 | 	 | 0	 | 0.10946	 | 0	 
1935B	 | 151.298	 | -7.70222	 | 	 | 	 | 	 | 0000-00-00	 | Samaha	 | 	 | NGC 3115	 | S0-	 | 0.00221	 | 0.00001	 | 	 | 0	 | 0.04705	 | 0	 
1935C	 | 59.9358	 | -67.6375	 | 	 | 	 | 	 | 1935-08-16	 | Boyce	 | IAUC 4647	 | NGC 1511	 | SAa pec:       HII	 | 0.00447	 | 0.00002	 | 	 | 0	 | 0.06142	 | 0	 
1936A	 | 184.983	 | 5.35222	 | 	 | 	 | 	 | 1936-01-02	 | Hubble, Moore	 | 	 | NGC 4273	 | SB(s)c         HII	 | 0.00793	 | 0.00001	 | 	 | 0	 | 0.02085	 | 0	 
1936B	 | 20.2871	 | 15.6972	 | 	 | 	 | 	 | 1936-09-24	 | Zwicky	 | 	 | CGCG 436-032	 | SBc:	 | 0.017083	 | 0.000061	 | 	 | 0	 | 0.06741	 | 0	 
1937A	 | 182.784	 | 50.4953	 | 	 | 	 | 	 | 1937-02-16	 | Zwicky	 | 	 | NGC 4157	 | SAB(s)b? sp    HII	 | 0.00258	 | 0.00001	 | 	 | 0	 | 0.01931	 | 0	 
1937B	 | 332.648	 | -22.6656	 | 	 | 	 | 	 | 1937-08-26	 | Zwicky	 | 	 | ESO 532- G 025	 | SB(r)bc	 | 0.031465	 | 0.00012	 | 	 | 0	 | 0.02746	 | 0	 
1937C	 | 196.468	 | 37.6189	 | Ia	 | IAUC 680	 | 	 | 1937-08-16	 | Zwicky	 | IAUC 680	 | IC 4182	 | SA(s)m	 | 0.00107	 | 0	 | 	 | 0	 | 0.012	 | 0	 
1937D	 | 39.835	 | 40.8714	 | Ia	 | IAUC 683	 | 	 | 1937-09-09	 | Zwicky	 | IAUC 683	 | NGC 1003	 | SA(s)cd	 | 0.00209	 | 0.00002	 | 	 | 0	 | 0.06962	 | 0	 
1937E	 | 58.6567	 | -20.4881	 | 	 | 	 | 	 | 1937-11-26	 | Zwicky	 | 	 | NGC 1482	 | SA0+ pec sp    HII	 | 0.00639	 | 0.00013	 | 	 | 0	 | 0.04	 | 0	 
1937F	 | 154.57	 | 41.3747	 | 	 | 	 | 	 | 1937-12-09	 | Zwicky	 | IAUC 789	 | NGC 3184	 | SAB(rs)cd      HII	 | 0.00198	 | 0	 | 	 | 0	 | 0.0173	 | 0	 
1938A	 | 39.4075	 | 34.4417	 | 	 | 	 | 	 | 1938-11-17	 | Zwicky	 | 	 | UGC 2105	 | (R')SB(s)a:    Sbrst	 | 0.01639	 | 0.00003	 | 	 | 0	 | 0.07153	 | 0	 
1938B	 | 132.351	 | 19.0686	 | 	 | 	 | 	 | 0000-00-00	 | Wachmann	 | 	 | NGC 2672	 | E1-2	 | 0.01449	 | 0.00003	 | 	 | 0	 | 0.02271	 | 0	 
